section,desired_area,total_area,percentage
1,0,498875.0,0.0
2,0,443929.0,0.0
3,0,396309.0,0.0
4,0,355665.0,0.0
5,2448.0,321299.0,0.007619071332310402
6,19710.0,292469.5,0.06739164254734255
7,36844.0,268586.0,0.13717766376505106
8,54000.5,249179.0,0.21671368775057287
9,63016.5,233933.0,0.2693784117674719
10,72554.0,222266.0,0.32642869354737114
11,82544.5,214138.0,0.3854733863209706
12,93793.0,209472.0,0.4477591277115796
13,104813.0,207935.0,0.5040661745256931
14,118907.0,209472.0,0.5676510464405744
15,134096.0,214205.0,0.626017133120142
16,152634.0,222261.0,0.6867331650626965
17,173436.0,233842.0,0.7416802798470762
18,193627.0,249157.0,0.7771284772252034
19,233904.5,268534.0,0.8710424005898695
20,236410.5,292385.0,0.808558920601262
21,233537.5,321324.0,0.7267975625848053
22,234686.5,355616.0,0.6599435908395572
23,289076.0,396387.0,0.7292771962753571
24,344022.5,443864.0,0.7750628570913614
25,339620.5,498765.0,0.6809228795123956
